ModelCode,ModelName
0020901,UH-60A
0030109,ACE-C
003010D,P
003010H,BABY ACE D
003010P,BABY ACE
003010Z,MODIFIED BABY ACE
0030115,BABY ACE
0030119,A
003011H,BABY ACE D
003011J,BABY ACE
003011K,C
003011L,CM2G1-S
003011V,D
0030120,BABY ACE C
0030123,JK-1
0030124,"BABY ACE ""D"""
003012F,C
003012P,T1
003012Q,E
003012R,BABY ACE
003012S,BABY ACE C/D
0030137,BABY ACE D
003013B,BABY ACE D
003013C,CA-61
003013D,MINIACE CA-61
003013E,BABY ACE D
003013F,CA61
003013G,CA61-F
003013M,P-10
003013N,D
003013P,BABY ACE
003013X,BABY ACE D
0030143,D
0030144,D-C
003014H,BABY ACE
003014N,R-1
003014R,D
003014T,LC-1
0030158,BABY ACE D
0030159,CORBEN ACE
003015D,C
003015P,B
003015Z,BABY ACE
00301B1,BABY ACE
00301BR,CE 1
00301BS,FS 24 PHONIX T
00301BY,BABY ACE
00301CB,BURKHART SPECIAL
00301CD,C
00301CK,D
00301F6,BABY ACE D
00301F7,CORBEN BABY ACE E
00301F8,BABY ACE MOD. D
00301F9,BABY ACE
00301G2,E
00301G5,BABY ACE E
00301G8,C
00301GF,D MODIFIED
00301GH,G
00301GJ,HR
00301GQ,RD1
00301GZ,HOME BUILT
00301H6,BABY ACE D
00301H7,C
00301HM,D
00301HW,BABY ACE D
00301HX,BRENNAN SPECIAL
00301HY,D
00301J3,BABY ACE
00301JH,1963
00301JJ,BABY ACE D
00301JN,CORBEN ACE D
00301K9,C-1
00301KP,BABY ACE C
00301KW,C
00301L5,A
00301LN,B
00301M1,C
00301MF,A-2
00301MR,BABY ACE
00301Q9,C-D
00301R5,CRS-2
00301RK,C MODIFIED
00301RV,CRS-1
00301SF,C-1
00301TM,C1A
00301TN,"BABY ACE ""D"""
00301TX,D
00301XF,BABY ACE D
00301Y7,ELG D
00301Z3,1961
00301ZH,NILSSON B-1
00301ZT,1
0030209,JUNIOR ACE
0030214,MJA SPORT
0030215,CORBEN BABY ACE C
0030216,BABY ACE D
0030221,E
0030222,E
0030234,6
0030235,SPECIAL BABY ACE JR
0030251,JR ACE E
0030273,JUNIOR ACE-PARASOL
003028T,JUNIOR ACE
003028U,JUNIOR ACE
003028V,CORBEN JUNIOR ACE
00302U3,HM1
0030301,1-PCLM
0030401,BABY ACE D
0030402,CORBEN BABY ACE D
0030403,BABY ACE D
0030404,"BABY ACE ""D"""
0030405,"BABY ACE ""D"""
0030406,CORBIN BABY ACE
0030407,"CORBEN BABY ACE ""C"""
0030408,CORBEN ACE HP-1
0030409,CORBEN BABY ACE D
0030410,BABY ACE D
0030411,BABY ACE-C
0030412,BABY ACE D
0030413,BABY ACE #1
0030414,CORBEN SUPER ACE
0030415,BABY ACE D
0030416,BABY ACE D
0030417,"BABY ACE ""D"""
0030418,"BABY ACE ""D"""
0030419,CORBEN BABY ACE D
0030420,CORBEN BABY ACE
0030421,BABY ACE D
0030422,BABY ACE D
0030423,CORBEN BABY ACE D
0030424,CORBEN BABY ACE D
0030426,CORBEN ACE C
0030427,BABY ACE D
0030429,BABY ACE D
0030430,CORBIN BABY ACE D
0030431,BABY ACE D
0030432,BABY ACE D
0030433,W-H BABY ACE D
0030434,BABY ACE D
0030435,BABY ACE DC-1
0030436,BABY ACE D
0030437,CORBEN BABY ACE D
0030438,BABY ACE D
0030439,BABY ACE D
0030441,BABY ACE D
0030442,CORBEN BABY ACE C
0030443,JUNIOR ACE D
0030444,BABY ACE D
0030445,BABY ACE D
0030446,BABY ACE
0030448,CORBEN BABY ACE
0030449,BABY ACE D
0030450,BABY ACE D
0030451,CORBIN BABY ACE
0030452,MODEL D
0030453,BABY ACE D
0030454,CORBEN JUNIOR ACE
0030455,CORBEN BABY ACE
0030456,BABY ACE D
0030457,BABY ACE MODEL D
0030458,BABY ACE D
0030459,BABY ACE D
0030460,BABY ACE D
0030461,BABY ACE D
0030462,BABY ACE D
0030463,BABY ACE
0030464,BABY ACE
0030465,JUNIOR ACE
0030466,JUNIOR ACE E
0030467,BABY ACE
0030468,CORBEN ACE D
0030469,BABY ACE MODEL D
0030470,CORBIN BABY ACE
0030471,BABY ACE D
0030472,CORBIN BABY ACE
0030501,CORBEN JR ACE
0030502,JUNIOR ACE
0030503,"JR. ACE MODEL ""E"""
0030504,JUNIOR ACE MODEL E
0030505,"JR. ACE ""E"""
0030506,CORBEN JR. ACE E
0030507,"JUNIOR ACE MODEL ""E"""
0030508,CORBIN JR. ACE MOD.
0030509,JUNIOR ACE E
0030510,JUNIOR ACE E
0030511,JR.ACE MODEL-E
0030512,CORBEN ACE JR E
0030513,JUNIOR ACE
0030514,JUNIOR ACE-E
0030515,JUNIOR ACE E
0030516,JUNIOR ACE
0030517,JUNIOR ACE E
0030518,JUNIOR ACE E
0030519,JUNIOR ACE E
0030520,CORBEN JUNIOR ACE E
0030521,CORBIN JUNIOR ACE E
0030522,CORBEN JR ACE E
0030523,JUNIOR ACE
0030524,JR ACE E
0030525,CORBEN JR ACE E
0030526,JUNIOR ACE E-MOD
0030527,CORBEN JR ACE
0030528,JR ACE MODEL E
0030529,CORBIN JUNIOR ACE E
0030531,CORBEN JR MODEL E
0030534,BABY ACE D
0030535,JUNIOR ACE MODEL E
0030536,CORBEN JR ACE-E
0030537,JR ACE
0030538,JUNIOR ACE
0030539,CORBEN JUNIOR ACE
0030540,JUNIOR ACE
0030541,BABY ACE MODEL D
0030542,CORBIN JUNIOR ACE E
0030543,CORBIN HUNTER JR ACE
0030545,CORBEN JR ACE-E
0030547,CORBIN BABY ACE D
0030548,CORBIN JR ACE
0030601,SUPER ACE
0033001,CH 2000
0040001,S18-180
0040101,UH-60A
0050050,A-B
0050055,A55S
005005A,A55
0050060,A-60S
0050070,LD S
0050100,A B
0050101,A50S
0050103,A55
0050105,A55S
0050112,A50SC
0050202,L.D.
0050204,L D-S
0050206,RV
0050302,A37H
0050325,A-B
0050350,A55
0050355,A55S
0050360,A60-S
0050365,LD S
0050450,A55S
0050460,A60S
0050550,JETCRUZER 500
0060115,HOBBYCOPTER
0066350,A55S
0066355,A50S
0066360,A-60S
0066375,EGG
0080250,THORP 211
0090100,L-13 SEH VIVAT
0090101,L-13 SDM VIVAT
0090102,L-13 SW
0090103,Z-226T
0090104,L13 SE VIVAT
0100102,ONE
0100103,II
0100104,III
0110100,PITTS S-1
0110101,PITTS S-2
0110201,PITTS S-2A
0110202,PITTS S2S
0110301,PITTS SPECIAL S-1S
0110302,IV
0110303,PITTS S-1T
0110304,PITTS S-2B
0120102,JODEL D-1190S
0130102,ZUNI
0130202,ZUNI
0130230,ZUNI II
0130240,ZIA
0140102,L3805
0140202,100
0140203,DARTER 100/150
0140204,100A
0140205,111
0140208,100-180
0140302,200
0140312,200D
0140314,200E
0140412,T-200E
0141102,500
0141104,500-A
0141106,500-B
0141107,500 S
0141108,500-U
0141202,520
0141402,560
0141404,560-A
0141406,560-E
0141408,560-F
0141602,680
0141604,680-E
0141606,680-F
0141608,680FL
0141610,680FL P
0141611,680FP
0141612,685
0141614,685A
0141712,680T
0141714,680V
0141716,680W
0141718,681
0141720,690
0141722,690A
0141723,690B
0141802,720
0141902,800
0142002,1121
0142006,1121A
0142010,1121B
0143006,S2C
0143010,600 S-2D
0143012,600 S-2D RESTRICTED
0143022,S2R
0144202,CALLAIR A-9
0144204,CALLAIR A-9A
0144206,CALLAIR A-9B
0144306,CALLAIR B-1
0144308,CALLAIR B-1A
0144701,112
0145001,114-B
0145002,114TC
0145003,114A
0150240,240
0150406,A-1
0160000,AMT-200(SUPR XIMNGO)
0160001,AMT-200S
0160002,AMT-300
0160003,AMT-100
0160011,SILA 600 C
